,TEAM,Name,Number,POS,Age,HT_in,WT_lb,College,Salary
81,MIL,Bobby Portis,9,F,28,82,250,Arkansas,"$10,843,350"
82,OKC,Ousmane Dieng,13,F,19,81,185,--,"$4,569,840"
83,OKC,Luguentz Dort,5,G,23,76,220,Arizona State,"$15,277,778"
84,OKC,Josh Giddey,3,SG,20,80,216,--,"$6,287,280"
85,OKC,Shai Gilgeous-Alexander,2,PG,24,78,195,Kentucky,"$30,913,750"
86,OKC,Chet Holmgren,7,PF,20,85,195,Gonzaga,"$9,891,240"
87,OKC,Justin Jackson,43,SF,27,80,220,North Carolina,"$1,836,090"
88,OKC,Isaiah Joe,11,SG,23,75,165,Arkansas,"$1,836,090"
89,OKC,Tre Mann,23,PG,22,75,178,Florida,"$3,046,200"
90,OKC,Eugene Omoruyi,97,F,25,78,235,Oregon,--
91,OKC,Aleksej Pokusevski,17,F,21,84,190,--,"$3,261,480"
92,OKC,Jeremiah Robinson-Earl,50,PF,22,80,240,Villanova,"$2,000,000"
93,OKC,,,PF,28,82,225,--,"$9,240,000"
94,OKC,Lindy Waters III,12,F,25,78,210,Oklahoma State,--
95,OKC,Aaron Wiggins,21,SG,24,77,190,Maryland,"$1,563,518"
96,OKC,Jalen Williams,8,F,21,78,195,Santa Clara,"$4,341,480"
97,OKC,Jaylin Williams,6,F,20,81,240,Arkansas,"$2,000,000"
98,OKC,Kenrich Williams,34,SF,28,78,210,TCU,"$2,000,000"
99,CHI,Lonzo Ball,2,PG,25,78,190,UCLA,"$19,534,884"
100,CHI,Tony Bradley,13,C,25,83,248,North Carolina,"$2,036,318"
101,CHI,Alex Caruso,6,SG,28,77,186,Texas A&M,"$9,030,000"
102,CHI,DeMar DeRozan,11,SF,33,78,220,USC,"$27,300,000"
103,CHI,Ayo Dosunmu,12,SG,23,76,200,Illinois,"$1,563,518"
104,CHI,Goran Dragic,7,PG,36,75,190,--,"$1,836,090"
105,CHI,Andre Drummond,3,C,29,82,279,Connecticut,"$3,200,000"
106,CHI,Javonte Green,24,SF,29,77,205,Radford,"$1,815,677"
107,CHI,Malcolm Hill,14,F,27,78,220,Illinois,--
108,CHI,Carlik Jones,22,G,25,72,174,Louisville,--
109,CHI,Derrick Jones Jr.,5,SF,25,78,210,UNLV,"$3,200,000"
110,CHI,Zach LaVine,8,SG,27,77,200,UCLA,"$37,096,500"
111,CHI,Marko Simonovic,19,C,23,84,220,--,"$1,563,518"
112,CHI,Dalen Terry,25,F,20,79,195,Arizona,"$3,191,400"
113,CHI,Nikola Vucevic,9,C,32,82,260,USC,"$22,000,000"
114,CHI,Coby White,0,PG,22,76,195,North Carolina,"$7,413,955"
115,CHI,Patrick Williams,44,PF,21,79,215,Florida State,"$7,775,400"
116,PHX,Deandre Ayton,22,C,24,84,250,Arizona,"$30,913,750"
117,PHX,Darius Bazley,55,PF,22,81,216,--,"$4,264,629"
118,PHX,Bismack Biyombo,18,C,30,80,255,--,"$1,836,090"
119,PHX,Devin Booker,1,SG,26,77,206,Kentucky,"$33,833,400"
120,PHX,Torrey Craig,0,SF,32,79,221,USC Upstate,"$5,121,951"
121,PHX,Kevin Durant,7,PF,34,82,240,Texas,"$44,119,845"
122,PHX,Jock Landale,11,C,27,83,255,Saint Mary's,"$1,563,518"
123,PHX,Damion Lee,10,SG,30,77,210,Louisville,"$1,836,090"
124,PHX,Saben Lee,9,G,23,74,183,Vanderbilt,"$1,752,638"
125,PHX,Josh Okogie,2,SF,24,76,213,Georgia Tech,"$1,836,090"
126,PHX,Chris Paul,3,PG,37,72,175,Wake Forest,"$28,400,000"
127,PHX,Cameron Payne,15,PG,28,73,183,Murray State,"$6,000,000"
128,PHX,Landry Shamet,14,SG,25,76,190,Wichita State,"$9,500,000"
129,PHX,Ish Wainright,12,F,28,77,250,Baylor,"$5,318"
130,PHX,T.J. Warren,1,SF,29,80,220,NC State,"$1,836,090"
131,PHI,Julian Champagnie,55,F,21,79,217,St. John's,--
132,PHI,Joel Embiid,21,C,28,84,280,Kansas,"$33,616,770"
133,PHI,James Harden,1,SG,33,77,220,Arizona State,"$33,000,000"
134,PHI,Montrezl Harrell,5,C,29,79,240,Louisville,"$2,463,490"
135,PHI,Tobias Harris,12,PF,30,79,226,Tennessee,"$37,633,050"
136,PHI,Danuel House Jr.,25,SF,29,78,220,Texas A&M,"$4,105,000"
137,PHI,Louis King,7,SF,23,79,205,Oregon,--
138,PHI,Furkan Korkmaz,30,SG,25,79,202,--,"$5,000,000"
139,PHI,Tyrese Maxey,0,PG,22,74,200,Kentucky,"$2,726,880"
140,PHI,Jalen McDaniels,6,PF,25,81,205,San Diego State,"$1,930,681"
141,PHI,De'Anthony Melton,8,SG,24,74,200,USC,"$8,250,000"
142,PHI,Shake Milton,18,SG,26,77,205,SMU,"$1,977,718"
143,PHI,Georges Niang,20,SF,29,79,230,Iowa State,"$3,465,000"
144,PHI,Paul Reed,44,SF,23,81,210,DePaul,"$1,782,621"
145,PHI,Jaden Springer,11,G,20,76,202,Tennessee,"$2,125,200"
146,PHI,P.J. Tucker,17,PF,37,77,245,Texas,"$10,490,000"
147,NO,Jose Alvarado,15,PG,24,72,179,Georgia Tech,"$1,563,518"
148,NO,Dyson Daniels,11,G,19,79,199,--,"$5,508,600"
149,NO,Jaxson Hayes,10,C,22,84,220,Texas,"$6,803,012"
150,NO,Willy Hernangomez,9,C,28,83,250,--,"$2,443,581"
151,NO,Brandon Ingram,14,SF,25,80,190,Duke,"$31,650,600"
152,NO,Herbert Jones,5,SF,24,79,206,Alabama,"$1,785,000"
153,NO,Kira Lewis Jr.,13,PG,21,73,170,Alabama,"$4,004,280"
154,NO,E.J. Liddell,32,F,22,78,240,Ohio State,--
155,NO,Naji Marshall,8,SF,25,79,220,Xavier,"$1,782,621"
156,NO,CJ McCollum,3,SG,31,75,190,Lehigh,"$33,333,333"
157,NO,Trey Murphy III,25,SG,22,80,206,Virginia,"$3,206,640"
158,NO,Larry Nance Jr.,22,PF,30,80,245,Wyoming,"$9,672,727"
159,NO,Josh Richardson,2,SG,29,78,200,Tennessee,"$11,615,328"
160,NO,Dereon Seabron,0,G,22,78,180,NC State,--
161,NO,Garrett Temple,41,SF,36,78,195,LSU,"$4,910,000"
162,NO,Jonas Valanciunas,17,C,30,83,265,--,"$14,700,000"
163,NO,Zion Williamson,1,PF,22,78,284,Duke,"$13,534,817"
164,CHA,LaMelo Ball,1,PG,21,79,180,--,"$8,623,920"
165,CHA,James Bouknight,2,SG,22,76,190,Connecticut,"$4,362,240"
166,CHA,Gordon Hayward,20,SF,32,79,225,Butler,"$30,075,000"
167,CHA,Reggie Jackson,1,PG,32,74,208,Boston College,"$11,215,260"
168,CHA,Kai Jones,23,PF,22,83,221,Texas,"$2,909,040"
169,CHA,Theo Maledon,9,PG,21,77,175,--,"$1,900,000"
170,CHA,Cody Martin,11,SF,27,78,205,Nevada,"$7,000,000"
171,CHA,Bryce McGowens,7,G,20,78,175,Nebraska,--
172,CHA,Svi Mykhailiuk,17,SG,25,79,205,Kansas,"$1,836,090"
173,CHA,Kelly Oubre Jr.,12,SG,27,78,203,Kansas,"$12,600,000"
174,CHA,Nick Richards,4,C,25,84,245,Kentucky,"$1,782,621"
175,CHA,Terry Rozier,3,SG,28,73,190,Louisville,"$21,486,283"
176,CHA,Dennis Smith Jr.,8,PG,25,74,205,NC State,"$1,836,090"
177,CHA,JT Thor,21,F,20,81,203,Auburn,"$1,563,518"
178,CHA,P.J. Washington,25,PF,24,79,230,Kentucky,"$5,808,435"
179,CHA,Mark Williams,5,C,21,84,240,Duke,"$3,722,040"
180,LAL,Mo Bamba,11,C,24,84,231,Texas,"$10,300,000"
181,LAL,Malik Beasley,5,SG,26,76,187,Florida State,"$15,558,035"
182,LAL,Troy Brown Jr.,7,SF,23,78,215,Oregon,"$1,836,090"
183,LAL,Max Christie,10,G,20,77,190,Michigan State,"$1,017,781"
