,TEAM,Name,Number,POS,Age,HT_in,WT_lb,College,Salary
356,DET,Killian Hayes,7,PG,21,77,195,--,"$5,572,680"
357,DET,Jaden Ivey,23,PG,20,76,195,Purdue,"$7,252,200"
358,DET,Cory Joseph,18,PG,31,75,200,Texas,"$5,155,500"
359,DET,Isaiah Livers,12,PF,24,78,232,Michigan,"$1,563,518"
360,DET,Rodney McGruder,17,G,31,76,205,Kansas State,"$1,836,090"
361,DET,Nerlens Noel,9,C,28,82,220,Kentucky,"$9,240,000"
362,DET,Jared Rhoden,8,G,23,78,210,Seton Hall,--
363,DET,Isaiah Stewart,28,C,21,80,250,Washington,"$3,433,320"
364,DET,Stanley Umude,37,G,23,78,210,Arkansas,--
365,DET,James Wiseman,33,C,21,84,240,Memphis,"$9,603,360"
366,POR,Ryan Arcidiacono,51,G,28,75,195,Villanova,"$1,836,090"
367,POR,Ibou Badji,41,C,20,85,240,--,--
368,POR,Greg Brown III,4,PF,21,79,206,Texas,"$1,563,518"
369,POR,John Butler Jr.,21,F,20,84,190,Florida State,--
370,POR,Drew Eubanks,24,PF,26,82,245,Oregon State,"$1,836,090"
371,POR,Jerami Grant,9,SF,28,80,210,Syracuse,"$20,955,000"
372,POR,Keon Johnson,6,SG,20,75,185,Tennessee,"$2,681,040"
373,POR,Kevin Knox II,20,SF,23,79,215,Kentucky,"$5,845,979"
374,POR,Damian Lillard,0,PG,32,74,195,Weber State,"$42,492,492"
375,POR,Nassir Little,10,SF,23,77,220,North Carolina,"$4,171,548"
376,POR,Jusuf Nurkic,27,C,28,84,290,--,"$15,625,000"
377,POR,Cam Reddish,0,SF,23,80,217,Duke,"$5,954,454"
378,POR,Shaedon Sharpe,17,SG,19,77,200,Kentucky,"$6,012,960"
379,POR,Anfernee Simons,1,SG,23,75,181,--,"$22,321,429"
380,POR,Matisse Thybulle,22,SG,25,77,201,Washington,"$4,379,527"
381,POR,Jabari Walker,34,F,20,79,200,Colorado,"$1,017,781"
382,POR,Trendon Watford,2,PF,22,80,237,LSU,"$1,563,518"
383,POR,Justise Winslow,26,PF,26,78,222,Duke,"$4,097,561"
384,ATL,Saddiq Bey,41,SF,23,79,215,Villanova,"$2,959,080"
385,ATL,Bogdan Bogdanovic,13,SG,30,77,225,--,"$18,000,000"
386,ATL,Clint Capela,15,C,28,82,256,--,"$18,706,896"
387,ATL,John Collins,20,PF,25,81,226,Wake Forest,"$23,500,000"
388,ATL,Bruno Fernando,20,PF,24,82,240,Maryland,"$2,717,391"
389,ATL,Trent Forrest,2,G,24,76,210,Florida State,--
390,ATL,AJ Griffin,14,F,19,78,222,Duke,"$3,536,160"
391,ATL,Aaron Holiday,3,G,26,72,185,UCLA,"$1,836,090"
392,ATL,De'Andre Hunter,12,SF,25,80,221,Virginia,"$9,835,881"
393,ATL,Jalen Johnson,1,SF,21,80,219,Duke,"$2,792,640"
394,ATL,Vit Krejci,27,G,22,80,195,--,"$1,563,518"
395,ATL,Tyrese Martin,22,G,23,78,215,Connecticut,"$1,017,781"
396,ATL,Garrison Mathews,25,SG,26,78,215,Lipscomb,"$2,000,000"
397,ATL,Dejounte Murray,5,SG,26,77,180,Washington,"$16,571,120"
398,ATL,Onyeka Okongwu,17,PF,22,81,240,USC,"$6,395,160"
399,ATL,Donovan Williams,4,G,21,78,190,UNLV,--
400,ATL,Trae Young,11,PG,24,73,164,Oklahoma,"$37,095,000"
401,GSW,Patrick Baldwin Jr.,7,F,20,81,220,Milwaukee,"$2,226,000"
402,GSW,Stephen Curry,30,PG,34,74,185,Davidson,"$48,070,014"
403,GSW,Donte DiVincenzo,0,SG,26,76,203,Villanova,"$4,500,000"
404,GSW,Draymond Green,23,PF,32,78,230,Michigan State,"$25,806,468"
405,GSW,JaMychal Green,1,F,32,81,227,Alabama,"$1,836,090"
406,GSW,Andre Iguodala,9,F,39,78,215,Arizona,"$1,836,090"
407,GSW,Ty Jerome,10,SG,25,77,195,Virginia,"$4,220,057"
408,GSW,Jonathan Kuminga,00,PF,20,79,225,--,"$5,739,860"
409,GSW,Anthony Lamb,40,F,25,78,227,Vermont,--
410,GSW,Kevon Looney,5,F,27,81,222,UCLA,"$8,000,000"
411,GSW,Moses Moody,4,SG,20,77,211,Arkansas,"$3,562,200"
412,GSW,Gary Payton II,00,SG,30,74,195,Oregon State,"$8,300,000"
413,GSW,Jordan Poole,3,SG,23,76,194,Michigan,"$3,901,399"
414,GSW,Ryan Rollins,2,G,20,75,180,Toledo,"$1,017,781"
415,GSW,Klay Thompson,11,SG,33,78,220,Washington State,"$40,600,080"
416,GSW,Andrew Wiggins,22,SF,27,79,197,Kansas,"$33,616,770"
417,MIA,Bam Adebayo,13,C,25,81,255,Kentucky,"$30,351,780"
418,MIA,Jamaree Bouyea,11,G,23,74,180,San Francisco,--
419,MIA,Jimmy Butler,22,SF,33,79,230,Marquette,"$37,653,300"
420,MIA,Jamal Cain,8,F,23,79,191,Oakland,--
421,MIA,Udonis Haslem,40,PF,42,80,235,Florida,"$1,836,090"
422,MIA,Tyler Herro,14,PG,23,77,195,Kentucky,"$5,722,116"
423,MIA,Haywood Highsmith,24,F,26,76,220,Wheeling Jesuit,"$1,752,638"
424,MIA,Nikola Jovic,5,F,19,82,205,--,"$2,239,920"
425,MIA,Kyle Lowry,7,PG,36,72,196,Villanova,"$28,333,334"
426,MIA,Caleb Martin,16,SF,27,77,205,Nevada,"$6,479,000"
427,MIA,Victor Oladipo,4,SG,30,76,213,Indiana,"$8,750,000"
428,MIA,Duncan Robinson,55,F,28,79,215,Michigan,"$16,902,000"
429,MIA,Orlando Robinson,25,C,22,84,235,Fresno State,--
430,MIA,Max Strus,31,SG,26,77,215,DePaul,"$1,815,677"
431,MIA,Gabe Vincent,2,PG,26,75,200,UC Santa Barbara,"$1,815,677"
432,MIA,Omer Yurtseven,77,C,24,83,275,Georgetown,"$1,752,638"
433,LAC,Nicolas Batum,33,PF,34,80,230,--,"$10,843,350"
434,LAC,Brandon Boston Jr.,4,SG,21,78,188,Kentucky,"$1,563,518"
435,LAC,Moses Brown,6,C,23,86,245,UCLA,"$19,186"
436,LAC,Amir Coffey,7,SG,25,79,210,Minnesota,"$3,395,062"
437,LAC,Robert Covington,23,PF,32,79,209,Tennessee State,"$12,307,692"
438,LAC,Moussa Diabate,25,F,21,82,210,Michigan,--
439,LAC,Paul George,13,F,32,80,220,Fresno State,"$42,492,492"
440,LAC,Eric Gordon,10,SG,34,75,215,Indiana,"$19,568,360"
441,LAC,Bones Hyland,3,PG,22,74,169,Virginia Commonwealth,"$2,201,520"
442,LAC,Kawhi Leonard,2,SF,31,79,225,San Diego State,"$42,492,492"
443,LAC,Terance Mann,14,SG,26,77,215,Florida State,"$1,930,681"
444,LAC,Marcus Morris Sr.,8,SF,33,80,218,Kansas,"$16,372,093"
445,LAC,Mason Plumlee,24,C,32,84,254,Duke,"$9,080,417"
446,LAC,Norman Powell,24,SF,29,75,215,UCLA,"$16,758,621"
447,LAC,Jason Preston,17,PG,23,75,181,Ohio,"$1,563,518"
448,LAC,Ivica Zubac,40,C,25,84,240,--,"$10,123,457"
449,NYK,RJ Barrett,9,SG,22,78,214,Duke,"$10,900,635"
450,NYK,Jalen Brunson,11,PG,26,73,190,Villanova,"$27,733,332"
451,NYK,Evan Fournier,13,SG,30,78,205,--,"$18,000,000"
452,NYK,Quentin Grimes,6,SG,22,76,210,Houston,"$2,277,000"
453,NYK,Josh Hart,11,SG,27,76,215,Villanova,"$12,960,000"
454,NYK,Isaiah Hartenstein,55,C,24,84,250,--,"$7,804,879"
455,NYK,DaQuan Jeffries,8,SG,25,77,222,Western Texas Coll. (J.C.),"$1,701,593"
456,NYK,Trevor Keels,3,G,19,76,221,Duke,--
457,NYK,Miles McBride,2,PG,22,74,195,West Virginia,"$1,563,518"
458,NYK,Immanuel Quickley,5,SG,23,75,190,Kentucky,"$2,316,240"
459,NYK,Julius Randle,30,PF,28,80,250,Kentucky,"$23,760,000"
460,NYK,Mitchell Robinson,23,C,24,84,240,--,"$17,045,454"
461,NYK,Derrick Rose,4,PG,34,75,200,Memphis,"$14,520,730"
462,NYK,Jericho Sims,45,C,24,81,250,Texas,"$1,639,842"
463,NYK,Obi Toppin,1,PF,24,81,220,Dayton,"$5,348,280"
464,MEM,Steven Adams,4,C,29,83,265,Pittsburgh,"$17,926,829"
465,MEM,Santi Aldama,7,PF,22,83,215,Loyola (MD),"$2,094,240"
466,MEM,Desmond Bane,22,SG,24,77,215,TCU,"$2,130,240"
467,MEM,Dillon Brooks,24,SF,27,79,225,Oregon,"$11,400,000"
468,MEM,Kennedy Chandler,1,G,20,72,171,Tennessee,"$1,200,000"
469,MEM,Brandon Clarke,15,PF,26,80,215,Gonzaga,"$4,343,920"
470,MEM,Jaren Jackson Jr.,13,PF,23,83,242,Michigan State,"$28,946,605"
471,MEM,Tyus Jones,21,PG,26,72,196,Duke,"$1,500,000"
472,MEM,Luke Kennard,5,SG,26,77,206,Duke,"$14,415,545"
473,MEM,John Konchar,46,SG,26,77,210,--,"$2,300,000"
474,MEM,Jake LaRavia,3,F,21,80,235,Wake Forest,"$3,047,640"
475,MEM,Kenneth Lofton Jr.,6,F,20,79,275,Louisiana Tech,--
476,MEM,Ja Morant,12,PG,23,75,174,Murray State,"$9,603,360"
477,MEM,David Roddy,27,F,21,77,252,Colorado State,"$2,588,640"
478,MEM,Xavier Tillman,2,F,24,80,245,Michigan State,"$1,901,625"
479,MEM,Ziaire Williams,8,F,21,81,185,Stanford,"$4,591,680"
480,MEM,Vince Williams Jr.,5,G,22,78,205,Virginia Commonwealth,--
481,ORL,Cole Anthony,50,PG,22,75,185,North Carolina,"$3,613,680"
482,ORL,Paolo Banchero,5,PF,20,82,250,Duke,"$11,055,120"
483,ORL,Patrick Beverley,21,PG,34,73,180,Arkansas,"$13,000,000"
484,ORL,Bol Bol,10,C,23,86,220,Oregon,"$2,200,000"
485,ORL,Wendell Carter Jr.,34,C,23,82,270,Duke,"$14,150,000"
486,ORL,Markelle Fultz,20,PG,24,76,209,Washington,"$16,500,000"
487,ORL,R.J. Hampton,13,PG,22,76,175,--,"$2,412,840"
488,ORL,Gary Harris,14,SG,28,76,210,Michigan State,"$13,000,000"
489,ORL,Kevon Harris,7,G,25,78,216,Stephen F. Austin,--
490,ORL,Caleb Houstan,2,F,20,80,205,Michigan,"$2,000,000"
491,ORL,Jonathan Isaac,1,PF,25,82,230,Florida State,"$17,400,000"
492,ORL,Chuma Okeke,3,PF,24,80,229,Auburn,"$3,433,320"
493,ORL,Terrence Ross,31,SG,32,79,206,Washington,"$11,500,000"
494,ORL,Admiral Schofield,25,SF,25,77,241,Tennessee,--
495,ORL,Jalen Suggs,4,SG,21,77,205,Gonzaga,"$6,922,320"
496,ORL,Franz Wagner,22,SF,21,82,220,Michigan,"$5,258,280"
497,ORL,Moritz Wagner,21,C,25,83,245,Michigan,"$1,878,720"
